epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.518421,44.2460,1.939035,39.8700,0.099994
2,1.111489,60.4160,1.638121,49.7600,0.099975
3,0.979130,65.6040,1.673017,52.6300,0.099944
4,0.898347,68.7480,1.270897,57.4700,0.099901
5,0.861196,70.1780,1.150431,59.5800,0.099846
6,0.833396,71.0720,1.134699,63.1100,0.099778
7,0.804065,72.0320,1.893842,50.5300,0.099698
8,0.793107,72.5700,0.944805,67.5800,0.099606
9,0.772524,73.3300,1.307096,58.9100,0.099501
10,0.763570,73.6100,1.551649,54.9000,0.099384
11,0.762788,73.7560,0.972689,68.4200,0.099255
12,0.741511,74.5540,1.319006,58.0500,0.099114
13,0.745937,74.3280,0.898796,69.3100,0.098961
14,0.727842,74.9800,1.263674,62.0100,0.098796
15,0.727163,75.1580,1.421850,60.7400,0.098618
16,0.728242,74.7900,1.091904,65.1600,0.098429
17,0.722195,75.0100,1.031511,66.7900,0.098228
18,0.718314,75.4120,1.013734,66.9400,0.098015
19,0.719538,75.0280,1.131104,65.4500,0.097790
20,0.704839,75.7700,1.188991,62.2900,0.097553
21,0.706650,75.6720,0.952601,68.2500,0.097304
22,0.712820,75.4520,1.076463,67.0300,0.097044
23,0.704146,75.8840,1.094887,64.7000,0.096772
24,0.707572,75.6900,1.449340,60.3900,0.096489
25,0.701155,75.7820,1.654649,54.0900,0.096194
26,0.707654,75.5380,1.469742,57.4500,0.095888
27,0.698757,76.1000,1.033162,66.2700,0.095570
28,0.696572,76.1760,1.413451,58.3700,0.095241
29,0.701279,76.1020,1.284510,59.6800,0.094901
30,0.691400,76.2180,1.564533,56.9800,0.094550
31,0.696216,76.3200,1.234139,62.7900,0.094188
32,0.691813,76.6760,1.199612,62.3400,0.093815
33,0.696155,76.3300,1.003965,67.7300,0.093432
34,0.692204,76.2440,1.040071,65.4400,0.093037
35,0.689925,76.3840,1.306104,60.6100,0.092632
36,0.682690,76.6400,1.295109,60.6200,0.092216
37,0.691136,76.3080,2.148298,44.6500,0.091790
38,0.688833,76.3920,1.711607,56.2300,0.091354
39,0.681169,76.6080,0.851756,70.9900,0.090907
40,0.685878,76.3680,1.084073,66.4400,0.090451
41,0.683364,76.6760,0.757868,73.6300,0.089984
42,0.679217,76.8320,0.884460,69.8900,0.089508
43,0.682060,76.6760,0.992504,66.2100,0.089022
44,0.679076,76.7120,1.055565,68.0300,0.088526
45,0.676402,76.7840,1.307907,61.6000,0.088020
46,0.672935,77.1360,1.745155,49.6000,0.087506
47,0.670894,77.1260,0.962448,68.6200,0.086982
48,0.675657,76.7160,2.097381,48.5500,0.086448
49,0.665128,77.1660,1.185111,62.7700,0.085906
50,0.663755,77.3420,1.331189,58.9300,0.085355
51,0.664767,77.1880,1.349670,58.0000,0.084796
52,0.667584,77.3360,1.223584,61.3600,0.084227
53,0.669269,77.0160,1.021442,66.3200,0.083651
54,0.660175,77.4560,1.399480,60.3100,0.083066
55,0.660129,77.4900,0.938900,68.9500,0.082472
56,0.661114,77.2480,1.309464,59.1400,0.081871
57,0.656891,77.6640,0.712061,75.0400,0.081262
58,0.655907,77.5620,1.922799,52.0400,0.080645
59,0.657123,77.5620,0.990567,68.3800,0.080021
60,0.648638,77.8060,0.800995,73.0500,0.079389
61,0.642387,77.9080,1.064557,66.9200,0.078750
62,0.652985,77.6000,0.892931,71.3800,0.078104
63,0.645949,77.8560,1.067906,66.2200,0.077451
64,0.642236,77.9740,0.878745,70.2200,0.076791
65,0.641661,78.1040,0.961988,68.4100,0.076125
66,0.642181,78.1700,0.900152,70.2600,0.075452
67,0.635957,78.2380,1.093897,65.8200,0.074773
68,0.640863,78.1840,1.213727,64.1200,0.074088
69,0.639618,78.1420,1.242585,61.5700,0.073396
70,0.635515,78.2220,0.919090,71.0500,0.072700
71,0.633168,78.2980,0.986837,67.7100,0.071997
72,0.625270,78.7760,0.851181,72.4500,0.071289
73,0.627107,78.6340,1.286213,65.0000,0.070576
74,0.624878,78.6680,1.056333,66.5000,0.069857
75,0.628198,78.5100,0.819333,71.7600,0.069134
76,0.621643,78.8480,0.885041,70.9900,0.068406
77,0.619735,78.7940,1.323593,60.7800,0.067674
