epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.574572,42.7140,1.381103,49.2700,0.009999
2,1.279116,54.1420,1.263935,54.7500,0.009998
3,1.146440,59.1560,1.329896,53.4300,0.009994
4,1.056790,62.5860,1.194226,57.9400,0.009990
5,0.981134,65.6440,1.151713,60.5700,0.009985
6,0.922420,67.7080,1.154182,61.6500,0.009978
7,0.875273,69.2840,1.130349,61.7800,0.009970
8,0.830591,71.1200,0.941604,67.0700,0.009961
9,0.797391,72.1980,1.106259,62.5400,0.009950
10,0.764863,73.3920,0.953537,67.7900,0.009938
11,0.740919,74.4640,0.913206,69.0500,0.009926
12,0.710886,75.2080,0.900703,68.8400,0.009911
13,0.692228,76.4480,1.037695,66.2800,0.009896
14,0.667238,76.9880,0.951979,67.8400,0.009880
15,0.647435,77.6980,0.946531,68.1100,0.009862
16,0.632999,78.2860,0.859148,70.9800,0.009843
17,0.616200,78.9660,0.991233,66.6100,0.009823
18,0.597547,79.5420,0.737664,75.1400,0.009801
19,0.587444,79.8340,0.715454,75.6800,0.009779
20,0.572019,80.3260,0.729955,75.3300,0.009755
21,0.554659,81.0100,0.732636,75.3500,0.009730
22,0.545305,81.1480,0.730630,75.9300,0.009704
23,0.533087,81.7580,0.756521,75.1000,0.009677
24,0.523763,82.1700,0.647687,78.3000,0.009649
25,0.512696,82.5620,0.642491,78.9300,0.009619
26,0.506089,82.6280,0.684705,77.5100,0.009589
27,0.499604,82.9260,0.799645,74.8800,0.009557
28,0.485964,83.3280,0.751370,75.4700,0.009524
29,0.478796,83.5100,0.618264,79.4400,0.009490
30,0.472324,84.0160,0.664873,78.1000,0.009455
31,0.465425,84.0920,0.672158,77.5400,0.009419
32,0.456990,84.4600,0.686630,77.8700,0.009382
33,0.453362,84.5640,0.747900,75.2800,0.009343
34,0.447882,84.8400,0.666347,78.0200,0.009304
35,0.441314,84.9440,0.623929,78.5800,0.009263
36,0.433690,85.1840,0.633028,79.4800,0.009222
37,0.428329,85.2340,0.690945,77.5000,0.009179
38,0.431158,85.1440,0.809146,74.2500,0.009135
39,0.417608,85.7520,0.688284,77.2800,0.009091
40,0.416291,85.6340,0.909774,71.5900,0.009045
41,0.412718,85.8800,0.757360,76.6900,0.008998
42,0.405431,86.2460,0.584811,80.5800,0.008951
43,0.402219,86.2340,0.660873,78.6500,0.008902
44,0.395772,86.5560,0.538034,82.0200,0.008853
45,0.395618,86.4960,0.798121,76.3000,0.008802
46,0.385333,86.8940,0.580892,80.7200,0.008751
47,0.384157,86.7620,0.591686,80.9300,0.008698
48,0.382553,86.8260,0.566992,81.7200,0.008645
49,0.375926,87.1900,0.608401,79.5700,0.008591
50,0.377516,87.3380,0.849782,73.7600,0.008536
51,0.374383,87.2100,0.649761,79.6300,0.008480
52,0.367210,87.5040,0.609667,80.4800,0.008423
53,0.370126,87.3300,0.631028,79.0200,0.008365
54,0.361756,87.6520,0.556771,81.1700,0.008307
55,0.356699,87.8480,0.685470,77.7600,0.008247
56,0.358756,87.8100,0.623329,80.0500,0.008187
57,0.357651,87.7300,0.537663,82.1300,0.008126
58,0.348393,88.1960,0.613653,79.6900,0.008065
59,0.350523,87.9360,0.680415,77.7900,0.008002
60,0.349350,88.0200,0.648322,79.8300,0.007939
61,0.341108,88.3760,0.613459,81.3000,0.007875
62,0.343645,88.2920,0.654817,79.7600,0.007810
63,0.336293,88.5040,0.550661,82.1700,0.007745
64,0.334507,88.6300,0.660194,79.3900,0.007679
65,0.329360,88.7080,0.685279,79.5500,0.007612
66,0.332169,88.5980,0.730732,77.6100,0.007545
67,0.324837,89.0040,0.549575,82.9700,0.007477
68,0.322651,89.0260,0.580676,81.5600,0.007409
69,0.325329,88.8500,0.587639,81.3100,0.007340
70,0.315903,89.3160,0.530163,82.8000,0.007270
71,0.318361,88.9620,0.788846,76.3000,0.007200
72,0.317450,89.3960,0.574454,81.7500,0.007129
73,0.312933,89.3860,0.587284,81.4200,0.007058
74,0.311503,89.2980,0.605772,80.7200,0.006986
75,0.309710,89.6720,0.679748,79.6300,0.006913
76,0.309838,89.4720,0.650612,80.2200,0.006841
77,0.302341,89.8200,0.688766,78.3100,0.006767
78,0.306185,89.6120,0.591073,81.1900,0.006694
79,0.302957,89.6380,0.523470,82.8700,0.006620
80,0.295098,89.8880,0.818924,77.9500,0.006545
81,0.297272,89.8820,0.499923,84.1200,0.006470
82,0.294941,89.9100,0.840489,74.1300,0.006395
83,0.291729,90.0820,0.706777,79.7200,0.006319
84,0.291044,90.0820,0.739131,77.8700,0.006243
85,0.285796,90.1320,0.524013,82.8700,0.006167
86,0.284022,90.2800,0.547334,82.7200,0.006091
87,0.286371,90.3160,0.532215,82.9600,0.006014
88,0.279370,90.4640,0.662320,79.6800,0.005937
89,0.281167,90.4220,0.601239,81.8900,0.005860
90,0.280874,90.4280,0.495127,84.1300,0.005782
91,0.276014,90.5980,0.503811,84.3400,0.005705
92,0.272365,90.8660,0.490200,84.2700,0.005627
93,0.269032,90.7640,0.579549,82.3000,0.005549
94,0.266403,91.0040,0.542522,82.5800,0.005471
95,0.264491,91.0020,0.635904,79.6300,0.005392
96,0.261636,91.2020,0.578992,82.5600,0.005314
97,0.265983,90.7780,0.657917,79.6300,0.005236
98,0.264887,90.9420,0.494020,84.3300,0.005157
99,0.256363,91.4400,0.528569,83.7200,0.005079
100,0.258592,91.2520,0.577285,82.7700,0.005000
101,0.254696,91.4240,0.519641,84.1200,0.004921
