epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.561576,42.3880,1.971860,39.3800,0.099901
2,1.137489,59.2520,1.217896,56.5000,0.099606
3,0.961271,66.1740,1.085288,62.6400,0.099114
4,0.868364,69.7960,1.393824,55.6500,0.098429
5,0.808739,71.9680,1.316699,58.8300,0.097553
6,0.761384,73.5540,1.101849,65.2700,0.096489
7,0.732345,74.6080,0.922930,70.4500,0.095241
8,0.710475,75.4920,1.098575,63.8000,0.093815
9,0.684985,76.5700,0.873612,69.9800,0.092216
10,0.666792,77.1680,0.997143,68.6600,0.090451
11,0.655127,77.6620,1.043303,65.6500,0.088526
12,0.634898,78.1800,1.191052,60.8900,0.086448
13,0.633739,78.1840,0.931613,68.4200,0.084227
14,0.610351,79.1600,0.908828,71.8100,0.081871
15,0.600537,79.3980,1.243273,60.0400,0.079389
16,0.597146,79.7120,0.842740,71.9900,0.076791
17,0.585452,79.9040,0.906117,71.2600,0.074088
18,0.575877,80.3060,0.929754,69.5600,0.071289
19,0.566923,80.6400,0.817457,72.9400,0.068406
20,0.553993,81.0760,1.117129,67.4000,0.065451
21,0.538633,81.5560,0.822162,72.6700,0.062434
22,0.537563,81.5180,0.750617,74.6900,0.059369
23,0.528998,82.0640,0.829470,73.3400,0.056267
24,0.515167,82.2040,0.608218,78.7400,0.053140
25,0.505238,82.8280,0.797343,74.5800,0.050000
26,0.495087,83.0060,0.995120,71.3000,0.046860
27,0.484958,83.3520,0.625677,78.6200,0.043733
28,0.473371,84.0140,0.724152,77.0100,0.040631
29,0.465075,84.1580,0.632710,79.6100,0.037566
30,0.449264,84.9160,0.935834,71.7100,0.034549
31,0.441358,85.0960,0.656893,78.6700,0.031594
32,0.426848,85.4280,0.790254,75.2000,0.028711
33,0.416698,85.9100,0.720058,76.8100,0.025912
34,0.401748,86.5080,0.760675,76.5700,0.023209
35,0.390556,86.7800,0.577042,80.6000,0.020611
36,0.374111,87.3680,0.592039,80.5400,0.018129
37,0.362459,87.7960,0.523613,82.0700,0.015773
38,0.348122,88.2920,0.708112,77.4900,0.013552
39,0.330045,88.8500,0.519120,82.3500,0.011474
40,0.316571,89.3700,0.491972,83.4100,0.009549
41,0.304236,89.8620,0.446105,84.9400,0.007784
42,0.290713,90.1700,0.524664,82.6300,0.006185
43,0.276700,90.9300,0.445423,84.8400,0.004759
44,0.264133,91.2920,0.411817,86.1000,0.003511
45,0.251283,91.7700,0.410116,86.4900,0.002447
46,0.242834,92.2800,0.395065,86.7900,0.001571
47,0.234058,92.4680,0.381606,87.1100,0.000886
48,0.226214,92.8620,0.379299,87.3800,0.000394
49,0.222688,93.0420,0.377679,87.4500,0.000099
50,0.220718,93.0080,0.374745,87.6500,0.000000
